,p,Trajectory Length 1,Trajectory Length 2,Trajectory Length 3,Trajectory Length 4,Nodes Visited 1,Nodes Visited 2,Nodes Visited 3,Nodes Visited 4,FDG Length 1,FDG Length 2,FDG Length 3,FDG Length 4,Planning Time 1,Planning Time 2,Planning Time 3,Planning Time 4,Bumps 1,Bumps 2,Bumps 3,Bumps 4,Run Time 1,Run Time 2,Run Time 3,Run Time 4,con_vis 3,con_vis 4,FG Length
0,0.33,471,443,471,471,713,795,754,783,201,201,201,201,2.3702017520000007,3.671933206999995,3.158074835999985,3.4636153689999922,121,176,133,148,2.3735539580000005,3.676205667,3.6379311249999997,3.495998,207,124,219
0,0.33,437,385,439,439,651,699,738,751,201,201,201,201,2.3034338349999874,3.76142424799999,3.400350706000019,3.51411941100001,107,157,144,149,2.3065725420000014,3.7658002910000015,3.8301226250000013,3.5462977920000007,94,24,203
0,0.33,393,401,397,399,595,717,647,680,201,201,201,201,2.9410237470000204,4.7720451239999875,4.111183543000067,4.519573630999965,101,158,113,134,2.944454333999996,4.776792374999999,4.520022791000002,4.549849625,160,87,211
0,0.33,445,473,443,443,665,839,711,742,201,201,201,201,2.2779759980000804,3.9397828199999694,2.9742571300000122,3.2344301759999823,110,183,122,141,2.2814947920000037,3.946173250000001,3.4321007499999965,3.264673416000001,144,78,205
0,0.33,539,639,541,617,819,1153,889,1032,201,201,201,201,3.0349419610000012,6.095620552000078,4.216811881000012,5.363900627000007,140,257,162,194,3.038966166999998,6.1033404999999945,4.769671041999999,5.403749875000003,157,46,211
0,0.33,415,425,419,419,609,733,667,681,201,201,201,201,2.066446373000062,3.8105219960000767,2.9385596599999673,3.0651888789999333,97,154,118,125,2.069461916999998,3.814704582999994,3.371580750000007,3.0923363330000058,146,93,211
0,0.33,339,335,337,339,505,599,574,590,201,201,201,201,2.610764792000012,4.063218209999889,3.7982243729999112,4.004532039999901,83,132,115,123,2.614119500000001,4.067175000000006,4.141639374999997,4.029732208999988,129,67,213
0,0.33,489,509,499,499,713,881,771,799,201,201,201,201,2.1263437110000467,3.918364155000134,3.0622760450002744,3.267148421999906,112,186,128,143,2.12974233300001,3.9241964999999936,3.5679832499999975,3.2941579160000174,150,88,207
0,0.33,439,465,443,447,657,861,756,791,201,201,201,201,3.2152684179999937,5.851528709000036,4.735279998000209,5.256555208000179,109,198,146,163,3.21912179200001,5.857806332999985,5.180089665999986,5.283837917,112,30,209
0,0.33,441,463,445,451,681,859,758,788,201,201,201,201,2.9125985419998983,4.8124946259999035,4.067519135000055,4.26285633300003,120,198,149,160,2.916597457999984,4.818462334000003,4.521939333000006,4.291366750000009,102,33,213
0,0.33,425,443,443,443,649,813,731,764,201,201,201,201,1.789246841000022,2.989349493000134,2.627967668000224,2.878502298000143,112,185,134,155,1.791952832999982,2.993970625000003,3.088020125000014,2.911050208000006,163,82,203
0,0.33,293,299,299,299,411,491,464,475,201,201,201,201,1.407427335000051,2.3042988310001817,2.22075308400008,2.2422710330001507,59,96,80,86,1.4098419580000154,2.307388708000019,2.519589458000013,2.257119916999983,104,47,209
0,0.33,361,367,365,365,531,661,583,611,201,201,201,201,1.7353400000000079,3.0331007500001306,2.6383912049999765,2.8971909959998356,85,147,100,114,1.7379510000000096,3.037284124999985,3.002292125000025,2.916404875000012,158,93,203
0,0.33,359,363,363,363,543,643,596,610,201,201,203,203,2.704554293000143,4.194935623999811,3.7930629550001242,4.087724840000192,92,140,110,118,2.7074253749999855,4.199260166999977,4.173219083999982,4.114899707999996,161,83,207
0,0.33,365,373,373,373,537,671,605,628,201,201,201,201,1.755534828000009,3.0626025049998304,2.6603433359999826,2.850457587999898,86,149,108,121,1.7581721249999873,3.066927082999996,3.0362728750000088,2.8717647499999828,112,68,207
0,0.33,385,409,391,405,581,731,647,682,201,201,201,201,2.9970225440000036,5.131376126000276,4.434594957999707,4.734217621000141,98,161,120,130,3.000405709000006,5.136631582999996,4.826413292000012,4.762673832999951,128,53,209
0,0.33,545,547,535,535,827,1003,876,916,201,201,201,201,2.441883797999992,3.97119041499991,3.2974657070005264,3.5931375040003104,141,228,159,178,2.4465468329999567,3.9768042080000328,3.821328499999993,3.6329024579999896,137,63,209
0,0.33,477,487,479,479,725,877,780,794,201,201,201,201,4.616740033999918,7.764353623999966,5.993553035000161,6.394298413999991,124,195,142,150,4.62183429199996,7.771760541999981,6.465448874999993,6.422570957999994,126,71,215
0,0.33,415,423,423,423,605,701,675,680,201,201,201,201,1.4902006299998902,2.4210515800000962,2.349498084999766,2.360416917999828,95,139,123,126,1.4927684580000005,2.4250835409999922,2.7813059169999974,2.3832463329999882,152,76,203
0,0.33,563,573,555,557,865,1043,901,936,201,201,201,201,3.631068169999878,5.9527654529996425,4.839452965999612,5.261022417999982,151,235,158,173,3.636231584000029,5.959299874999999,5.4077310000000125,5.299936582999976,183,94,209
0,0.33,381,395,383,383,575,689,631,650,201,201,201,201,2.583347620999973,4.205359503000125,3.7171183760002577,3.8760335899999063,97,147,116,128,2.586659791000045,4.21039087500003,4.116856208999991,3.8984956660000307,145,51,219
0,0.33,513,573,523,523,759,1023,836,864,201,201,201,201,2.826151362000587,4.86181179099998,3.8782387499994684,4.125494508000315,123,225,145,161,2.830016583000031,4.868403709000006,4.372754792000023,4.1568572080000195,107,20,215
0,0.33,473,477,475,477,717,839,751,783,201,201,201,201,1.9406073790001983,2.781626030000041,2.536988959000155,2.6950287939999384,122,181,129,144,1.943720125000027,2.785951916999977,3.0179882080000198,2.728862124999978,202,93,213
0,0.33,567,405,569,573,889,743,963,1003,201,201,201,201,4.703890159000309,5.632464743999549,5.960282670999675,6.381172158999561,161,169,184,205,4.709620375000043,5.637800416999994,6.534580875000017,6.418123291999962,149,60,213
0,0.33,569,575,565,567,853,1023,884,922,201,201,201,201,2.6305382550002605,4.226959536000038,3.3576118299998825,3.6378346569997575,142,224,144,163,2.6346095829999854,4.233292958999982,3.876688750000028,3.677767834000008,105,31,203
0,0.33,431,439,435,435,649,785,710,736,201,201,201,201,1.6620083820000673,2.6487506650000228,2.313203295999415,2.4595064540004614,109,173,129,144,1.665067084000043,2.6525720000000206,2.7557583340000065,2.4902000829999906,141,69,207
0,0.33,389,379,375,371,581,701,660,673,201,201,201,201,2.1696344589995533,3.6369967100002327,3.3348591299998134,3.518430030000161,96,161,138,147,2.172824999999989,3.6416556249999985,3.7117669589999878,3.5463893340000254,72,24,209
0,0.33,461,475,463,463,695,837,723,763,201,201,201,201,3.195174132999796,5.668533753000077,4.036239168000179,4.800339744000269,117,181,121,142,3.1993730419999906,5.674006416999987,4.500615041000003,4.833707249999975,155,79,223
0,0.33,407,447,409,443,601,763,655,717,201,201,201,201,1.835579001999804,2.87220208800062,2.4955107909998446,2.641078948000029,97,158,114,130,1.8381969160000153,2.8757799999999634,2.892965375000017,2.6712700419999464,121,48,215
0,0.33,447,449,447,449,693,819,732,769,201,201,201,201,2.456903081000462,3.7035407520001513,3.0194953359998067,3.4549588780001272,123,185,132,151,2.4605887089999783,3.707991665999998,3.4760879170000294,3.4803277089999938,157,65,209
